Location_Name,Specific Location,Location_Address,Location_City,Location_State,Location_Zip,Location_County,Date,Open,Close
Albertsons Charleston Town Center,,10250 West Charleston Blvd,Las Vegas,NV,89135,Clark,10/27/12,9am,7pm
Albertsons El Capitan & Farm,,8410 Farm Road,Las Vegas,NV,89131,Clark,10/27/12,9am,7pm
Albertsons Horizon Ridge & Eastern,,2650 West Horizon Ridge,Henderson,NV,89052,Clark,10/27/12,9am,7pm
Albertsons Lake Mead & Hollywood,,6885 E Lake Mead Blvd,Las Vegas,NV,89156,Clark,10/27/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5772 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/27/12,9am,7pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,607 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/27/12,9am,5pm
Dr. William U. Pearson Community Center,Room A,1632 W Carey Ave,Las Vegas,NV,89032,Clark,10/27/12,9am,5pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3407 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/27/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4913 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/27/12,9am,7pm
Lowe's Home Improvement Parking Lot,Trailer,2570 E Craig Rd,Las Vegas,NV,89030,Clark,10/27/12,9am,7pm
Renaissance III Shopping Ctr. ,Trailer,3300 East Flamingo Road,Las Vegas,NV,89121,Clark,10/27/12,9am,7pm
Sak n Save Food Store,,1908 Silverada Blvd,Reno,NV,89519,Washoe,10/27/12,9am,6pm
Scolaris Store #18,,3317 S McCarran Blvd,Reno,NV,89509,Washoe,10/27/12,9am,6pm
Scolaris Store #19,,207 Lemmon Drive,Reno,NV,89513,Washoe,10/27/12,9am,6pm
Scolaris Store #20,,8172 S Virginia St,Reno,NV,89518,Washoe,10/27/12,9am,6pm
Scolaris Store #24,,4795 Caughlin Pkwy,Reno,NV,89526,Washoe,10/27/12,9am,6pm
Scolaris Store #26,,1307 Disc Dr,Sparks,NV,89441,Washoe,10/27/12,9am,6pm
Scolaris Store #28,,6262 Sharlands Ave,Reno,NV,89530,Washoe,10/27/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9732 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/27/12,9am,7pm
Vons - Trails Village Ctr. ,Trailer,1970 Village Center Circle,Las Vegas,NV,89134,Clark,10/27/12,9am,7pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5208 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/28/12,10am,6pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7408 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/28/12,10am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3536 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/28/12,11am,6pm
Chinatown Plaza,,"4215 Spring Mountain Road,",Las Vegas,NV,89102,Clark,10/28/12,11am,6pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1308 W. Sunset Rd.,Henderson,NV,89014,Clark,10/28/12,11am,6pm
Meadows Mall,"Sears Court, 1st Floor ",4308 Meadows Lane,Las Vegas,NV,89107,Clark,10/28/12,11am,6pm
Albertsons  Craig & Tenya,,7151 West Craig Road,Las Vegas,NV,89129,Clark,10/28/12,8am,6pm
Albertsons Blue Diamond and Decatur,,4800 Blue Diamond Road,Las Vegas,NV,89139,Clark,10/28/12,8am,6pm
Food 4 Less Bonanza & Pecos,,3602 East Bonanza Road,Las Vegas,NV,89110,Clark,10/28/12,8am,6pm
Albertsons Charleston Town Center,,10250 West Charleston Blvd,Las Vegas,NV,89135,Clark,10/28/12,9am,7pm
Albertsons Desert Inn & Pecos,,2885 East Desert Inn Road,Las Vegas,NV,89121,Clark,10/28/12,9am,7pm
Albertsons El Capitan & Farm,,8410 Farm Road,Las Vegas,NV,89131,Clark,10/28/12,9am,7pm
Albertsons Lake Mead & Hollywood,,6885 E Lake Mead Blvd,Las Vegas,NV,89156,Clark,10/28/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5773 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/28/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3408 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/28/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4914 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/28/12,9am,7pm
Renaissance III Shopping Ctr. ,Trailer,3300 East Flamingo Road,Las Vegas,NV,89121,Clark,10/28/12,9am,7pm
Sak n Save Food Store,,1909 Silverada Blvd,Reno,NV,89520,Washoe,10/28/12,9am,6pm
Scolaris Store #18,,3318 S McCarran Blvd,Reno,NV,89510,Washoe,10/28/12,9am,6pm
Scolaris Store #19,,208 Lemmon Drive,Reno,NV,89514,Washoe,10/28/12,9am,6pm
Scolaris Store #20,,8173 S Virginia St,Reno,NV,89519,Washoe,10/28/12,9am,6pm
Scolaris Store #24,,4796 Caughlin Pkwy,Reno,NV,89527,Washoe,10/28/12,9am,6pm
Scolaris Store #26,,1308 Disc Dr,Sparks,NV,89442,Washoe,10/28/12,9am,6pm
Scolaris Store #28,,6263 Sharlands Ave,Reno,NV,89531,Washoe,10/28/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9733 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/28/12,9am,7pm
Sun City Anthem Community Center,,2450 Hampton Rd,Henderson,NV,89052,Clark,10/28/12,9am,6pm
Vons - Trails Village Ctr. ,Trailer,1970 Village Center Circle,Las Vegas,NV,89134,Clark,10/28/12,9am,7pm
Vons Rhode Ranch Town Center,Trailer,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,10/28/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3537 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/29/12,10am,9pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1309 W. Sunset Rd.,Henderson,NV,89014,Clark,10/29/12,10am,9pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7409 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/29/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4309 Meadows Lane,Las Vegas,NV,89107,Clark,10/29/12,10am,9pm
Rainbow Library,,3150 North Buffalo Drive,Las Vegas,NV,89128,Clark,10/29/12,10am,7pm
Boulder City Hall,,401 California Avenue,Boulder City,NV,89005,Clark,10/29/12,7am,6pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,609 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/29/12,8am,6pm
Desert Vista Community Center,,10360 Sun City Blvd,Sun City,NV,89134,Clark,10/29/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5209 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/29/12,8am,6pm
Moapa Valley Community Center.,,320 N Moapa Valley Blvd,Moapa Valley,NV,89040,Clark,10/29/12,8am,6pm
Sun City Aliante Community Center,,7390 Aliante Pkwy,North Las Vegas,NV,89084,Clark,10/29/12,8am,6pm
Sun City Anthem Community Center,,2450 Hampton Rd,Henderson,NV,89052,Clark,10/29/12,8am,6pm
Albertsons Desert Inn & Pecos,,2885 East Desert Inn Road,Las Vegas,NV,89121,Clark,10/29/12,9am,7pm
Albertsons Flamingo & Hualapai,,10140 West Flamingo Road,Las Vegas,NV,89147,Clark,10/29/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5774 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/29/12,9am,7pm
Dr. William U. Pearson Community Center,Room A,1634 W Carey Ave,Las Vegas,NV,89032,Clark,10/29/12,9am,7pm
East Las Vegas Community Center,Room 139B,259 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/29/12,9am,6pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3409 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/29/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4915 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/29/12,9am,7pm
Nevada State College,Lib. Arts/Science Building,1125 Nevada State Drive,Henderson,NV,89002,Clark,10/29/12,9am,4:30pm
Sak n Save Food Store,,1910 Silverada Blvd,Reno,NV,89521,Washoe,10/29/12,9am,6pm
Scolaris Store #18,,3319 S McCarran Blvd,Reno,NV,89511,Washoe,10/29/12,9am,6pm
Scolaris Store #19,,209 Lemmon Drive,Reno,NV,89515,Washoe,10/29/12,9am,6pm
Scolaris Store #20,,8174 S Virginia St,Reno,NV,89520,Washoe,10/29/12,9am,6pm
Scolaris Store #24,,4797 Caughlin Pkwy,Reno,NV,89528,Washoe,10/29/12,9am,6pm
Scolaris Store #26,,1309 Disc Dr,Sparks,NV,89443,Washoe,10/29/12,9am,6pm
Scolaris Store #28,,6264 Sharlands Ave,Reno,NV,89532,Washoe,10/29/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9734 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/29/12,9am,7pm
Skyview YMCA,,3050 E. Centennial Pkwy,North Las Vegas,NV,89801,Clark,10/29/12,9am,7pm
Vons - Trails Village Ctr. ,Trailer,1970 Village Center Circle,Las Vegas,NV,89134,Clark,10/29/12,9am,7pm
Vons Rhode Ranch Town Center,Trailer,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,10/29/12,9am,7pm
Whole Foods Marketplace ,Trailer,7290 W Lake Mead Blvd,Las Vegas,NV,89128,Clark,10/29/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3538 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/30/12,10am,9pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1310 W. Sunset Rd.,Henderson,NV,89014,Clark,10/30/12,10am,9pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7410 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/30/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4310 Meadows Lane,Las Vegas,NV,89107,Clark,10/30/12,10am,9pm
Rainbow Library,,3150 North Buffalo Drive,Las Vegas,NV,89128,Clark,10/30/12,10am,7pm
Boulder City Hall,,401 California Avenue,Boulder City,NV,89005,Clark,10/30/12,7am,6pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,610 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/30/12,8am,6pm
Desert Vista Community Center,,10360 Sun City Blvd,Sun City,NV,89134,Clark,10/30/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5210 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/30/12,8am,6pm
Mesquite Community Senior Center,,102 W Old Mill Rd,Mesquite,NV,89027,Clark,10/30/12,8am,7pm
Sun City Aliante Community Center,,7390 Aliante Pkwy,North Las Vegas,NV,89084,Clark,10/30/12,8am,6pm
Sun City Anthem Community Center,,2450 Hampton Rd,Henderson,NV,89052,Clark,10/30/12,8am,6pm
Albertsons Desert Inn & Pecos,,2885 East Desert Inn Road,Las Vegas,NV,89121,Clark,10/30/12,9am,7pm
Albertsons Flamingo & Hualapai,,10140 West Flamingo Road,Las Vegas,NV,89147,Clark,10/30/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5775 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/30/12,9am,7pm
Dr. William U. Pearson Community Center,Room A,1635 W Carey Ave,Las Vegas,NV,89032,Clark,10/30/12,9am,7pm
East Las Vegas Community Center,Room 139B,260 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/30/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3410 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/30/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4916 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/30/12,9am,7pm
Nevada State College,Lib. Arts/Science Building,1125 Nevada State Drive,Henderson,NV,89002,Clark,10/30/12,9am,4:30pm
Park Central Plaza ,Trailer,5940 Losee Road,North Las Vegas,NV,89081,Clark,10/30/12,9am,7pm
Sak n Save Food Store,,1911 Silverada Blvd,Reno,NV,89522,Washoe,10/30/12,9am,6pm
Scolaris Store #18,,3320 S McCarran Blvd,Reno,NV,89512,Washoe,10/30/12,9am,6pm
Scolaris Store #19,,210 Lemmon Drive,Reno,NV,89516,Washoe,10/30/12,9am,6pm
Scolaris Store #20,,8175 S Virginia St,Reno,NV,89521,Washoe,10/30/12,9am,6pm
Scolaris Store #24,,4798 Caughlin Pkwy,Reno,NV,89529,Washoe,10/30/12,9am,6pm
Scolaris Store #26,,1310 Disc Dr,Sparks,NV,89444,Washoe,10/30/12,9am,6pm
Scolaris Store #28,,6265 Sharlands Ave,Reno,NV,89533,Washoe,10/30/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9735 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/30/12,9am,7pm
Skyview YMCA,,3050 E. Centennial Pkwy,North Las Vegas,NV,89801,Clark,10/30/12,9am,7pm
Vons Rhode Ranch Town Center,Trailer,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,10/30/12,9am,7pm
Whole Foods Marketplace ,Trailer,7290 W Lake Mead Blvd,Las Vegas,NV,89128,Clark,10/30/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3539 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/31/12,10am,9pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1311 W. Sunset Rd.,Henderson,NV,89014,Clark,10/31/12,10am,9pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7411 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/31/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4311 Meadows Lane,Las Vegas,NV,89107,Clark,10/31/12,10am,9pm
Rainbow Library,,3150 North Buffalo Drive,Las Vegas,NV,89128,Clark,10/31/12,10am,7pm
Henderson City Hall,,240 South Water Street,Henderson,NV,89015,Clark,10/31/12,7:30am,5:30pm
Alberstons Sunset & Green Valley Parkway,,2851 North Green Valley Parkway,Las Vegas,NV,89014,Clark,10/31/12,8am,6pm
Albertsons Ann & Simmons,,3010 West Ann Road,Las Vegas,NV,89031,Clark,10/31/12,8am,6pm
Albertsons Buffalo & Vegas,,1650 North Buffalo Drive,Las Vegas,NV,89128,Clark,10/31/12,8am,6pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,611 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/31/12,8am,6pm
Desert Willow Community Center,,2020 W. Horizon Ridge ,Henderson,NV,89012,Clark,10/31/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5211 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/31/12,8am,6pm
Mesquite Community Senior Center,,102 W Old Mill Rd,Mesquite,NV,89027,Clark,10/31/12,8am,7pm
Albertsons Flamingo & Hualapai,,10140 West Flamingo Road,Las Vegas,NV,89147,Clark,10/31/12,9am,7pm
Cardenas Market,,4421 East Bonanza Road,Las Vegas,NV,89110,Clark,10/31/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5776 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/31/12,9am,7pm
"College of Southern NV, Cheyenne",Trailer,3200 East Cheyenne Avenue,North Las Vegas,NV,89030,Clark,10/31/12,9am,7pm
"College of Southern NV, Henderson",Building C,700 College Drive,Henderson,NV,89002,Clark,10/31/12,9am,4:30pm
Dr. William U. Pearson Community Center,Room A,1636 W Carey Ave,Las Vegas,NV,89032,Clark,10/31/12,9am,7pm
East Las Vegas Community Center,Room 139B,261 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/31/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3411 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/31/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4917 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/31/12,9am,7pm
Park Central Plaza ,Trailer,5940 Losee Road,North Las Vegas,NV,89081,Clark,10/31/12,9am,7pm
Sak n Save Food Store,,1912 Silverada Blvd,Reno,NV,89523,Washoe,10/31/12,9am,6pm
Scolaris Store #18,,3321 S McCarran Blvd,Reno,NV,89513,Washoe,10/31/12,9am,6pm
Scolaris Store #19,,211 Lemmon Drive,Reno,NV,89517,Washoe,10/31/12,9am,6pm
Scolaris Store #20,,8176 S Virginia St,Reno,NV,89522,Washoe,10/31/12,9am,6pm
Scolaris Store #24,,4799 Caughlin Pkwy,Reno,NV,89530,Washoe,10/31/12,9am,6pm
Scolaris Store #26,,1311 Disc Dr,Sparks,NV,89445,Washoe,10/31/12,9am,6pm
Scolaris Store #28,,6266 Sharlands Ave,Reno,NV,89534,Washoe,10/31/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9736 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/31/12,9am,7pm
Vons Rhode Ranch Town Center,Trailer,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,10/31/12,9am,7pm
Whole Foods Marketplace ,Trailer,7290 W Lake Mead Blvd,Las Vegas,NV,89128,Clark,10/31/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3540 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,11/1/12,10am,9pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1312 W. Sunset Rd.,Henderson,NV,89014,Clark,11/1/12,10am,9pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7412 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,11/1/12,10am,9pm
Meadows Mall,"Sears Court, 1st Floor ",4312 Meadows Lane,Las Vegas,NV,89107,Clark,11/1/12,10am,9pm
Alberstons Sunset & Green Valley Parkway,,2851 North Green Valley Parkway,Las Vegas,NV,89014,Clark,11/1/12,8am,6pm
Albertsons Ann & Simmons,,3010 West Ann Road,Las Vegas,NV,89031,Clark,11/1/12,8am,6pm
Albertsons Buffalo & Vegas,,1650 North Buffalo Drive,Las Vegas,NV,89128,Clark,11/1/12,8am,6pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,612 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,11/1/12,8am,6pm
Desert Willow Community Center,,2020 W. Horizon Ridge ,Henderson,NV,89012,Clark,11/1/12,8am,6pm
Hollywood Recreation Center,,1650 South Hollywood Boulevard,Las Vegas,NV,89142,Clark,11/1/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5212 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,11/1/12,8am,6pm
Alberstons Nellis & Vegas Valley,,2835 S. Nellis Bl.,Las Vegas,NV,89121,Clark,11/1/12,9am,7pm
Cardenas Market,,4421 East Bonanza Road,Las Vegas,NV,89110,Clark,11/1/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5777 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,11/1/12,9am,7pm
"College of Southern NV, Cheyenne",Trailer,3200 East Cheyenne Avenue,North Las Vegas,NV,89030,Clark,11/1/12,9am,7pm
"College of Southern NV, Henderson",Building C,700 College Drive,Henderson,NV,89002,Clark,11/1/12,9am,4:30pm
Desert Breeze Community Center,,8275 Spring Mountain Road,Las Vegas,NV,89117,Clark,11/1/12,9am,7pm
Dr. William U. Pearson Community Center,Room A,1637 W Carey Ave,Las Vegas,NV,89032,Clark,11/1/12,9am,7pm
East Las Vegas Community Center,Room 139B,262 North Eastern Avenue,Las Vegas,NV,89101,Clark,11/1/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3412 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,11/1/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4918 West Lone Mountain Road,Las Vegas,NV,89130,Clark,11/1/12,9am,7pm
Park Central Plaza ,Trailer,5940 Losee Road,North Las Vegas,NV,89081,Clark,11/1/12,9am,7pm
Sak n Save Food Store,,1913 Silverada Blvd,Reno,NV,89524,Washoe,11/1/12,9am,6pm
Scolaris Store #18,,3322 S McCarran Blvd,Reno,NV,89514,Washoe,11/1/12,9am,6pm
Scolaris Store #19,,212 Lemmon Drive,Reno,NV,89518,Washoe,11/1/12,9am,6pm
Scolaris Store #20,,8177 S Virginia St,Reno,NV,89523,Washoe,11/1/12,9am,6pm
Scolaris Store #24,,4800 Caughlin Pkwy,Reno,NV,89531,Washoe,11/1/12,9am,6pm
Scolaris Store #26,,1312 Disc Dr,Sparks,NV,89446,Washoe,11/1/12,9am,6pm
Scolaris Store #28,,6267 Sharlands Ave,Reno,NV,89535,Washoe,11/1/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9737 South Eastern Avenue,Las Vegas,NV,89183,Clark,11/1/12,9am,7pm
Vons Horizon & Horizon Ridge,,45 East Horizon Ridge Parkway,Henderson,NV,89012,Clark,11/1/12,9am,7pm
Vons Rhode Ranch Town Center,Trailer,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,11/1/12,9am,7pm
Whole Foods Marketplace ,Trailer,7290 W Lake Mead Blvd,Las Vegas,NV,89128,Clark,11/1/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3541 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,11/2/12,10am,9pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1313 W. Sunset Rd.,Henderson,NV,89014,Clark,11/2/12,10am,9pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7413 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,11/2/12,10am,9pm
Meadows Mall,"Sears Court, 1st Floor ",4313 Meadows Lane,Las Vegas,NV,89107,Clark,11/2/12,10am,9pm
Alberstons Sunset & Green Valley Parkway,,2851 North Green Valley Parkway,Las Vegas,NV,89014,Clark,11/2/12,8am,7pm
Albertsons Ann & Simmons,,3010 West Ann Road,Las Vegas,NV,89031,Clark,11/2/12,8am,7pm
Albertsons Buffalo & Vegas,,1650 North Buffalo Drive,Las Vegas,NV,89128,Clark,11/2/12,8am,7pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,613 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,11/2/12,8am,8pm
Desert Willow Community Center,,2020 W. Horizon Ridge ,Henderson,NV,89012,Clark,11/2/12,8am,7pm
Hollywood Recreation Center,,1650 South Hollywood Boulevard,Las Vegas,NV,89142,Clark,11/2/12,8am,7pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5213 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,11/2/12,8am,8pm
Alberstons Nellis & Vegas Valley,,2835 S. Nellis Bl.,Las Vegas,NV,89121,Clark,11/2/12,9am,7pm
Cardenas Market,,4421 East Bonanza Road,Las Vegas,NV,89110,Clark,11/2/12,9am,8pm
Centennial Center,Trailer in Parking Lot Near Petco ,5778 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,11/2/12,9am,8pm
"College of Southern NV, Cheyenne",Trailer,3200 East Cheyenne Avenue,North Las Vegas,NV,89030,Clark,11/2/12,9am,8pm
Desert Breeze Community Center,,8275 Spring Mountain Road,Las Vegas,NV,89117,Clark,11/2/12,9am,8pm
Dr. William U. Pearson Community Center,Room A,1638 W Carey Ave,Las Vegas,NV,89032,Clark,11/2/12,9am,8pm
East Las Vegas Community Center,Room 139B,263 North Eastern Avenue,Las Vegas,NV,89101,Clark,11/2/12,9am,8pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3413 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,11/2/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4919 West Lone Mountain Road,Las Vegas,NV,89130,Clark,11/2/12,9am,8pm
Park Central Plaza ,Trailer,5940 Losee Road,North Las Vegas,NV,89081,Clark,11/2/12,9am,8pm
Sak n Save Food Store,,1914 Silverada Blvd,Reno,NV,89525,Washoe,11/2/12,9am,6pm
Scolaris Store #18,,3323 S McCarran Blvd,Reno,NV,89515,Washoe,11/2/12,9am,6pm
Scolaris Store #19,,213 Lemmon Drive,Reno,NV,89519,Washoe,11/2/12,9am,6pm
Scolaris Store #20,,8178 S Virginia St,Reno,NV,89524,Washoe,11/2/12,9am,6pm
Scolaris Store #24,,4801 Caughlin Pkwy,Reno,NV,89532,Washoe,11/2/12,9am,6pm
Scolaris Store #26,,1313 Disc Dr,Sparks,NV,89447,Washoe,11/2/12,9am,6pm
Scolaris Store #28,,6268 Sharlands Ave,Reno,NV,89536,Washoe,11/2/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9738 South Eastern Avenue,Las Vegas,NV,89183,Clark,11/2/12,9am,8pm
Vons Horizon & Horizon Ridge,,45 East Horizon Ridge Parkway,Henderson,NV,89012,Clark,11/2/12,9am,8pm
Vons Rhode Ranch Town Center,Trailer,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,11/2/12,9am,8pm
Whole Foods Marketplace ,Trailer,7290 W Lake Mead Blvd,Las Vegas,NV,89128,Clark,11/2/12,9am,8pm
