organizationid,organization name,address,zip5,zip4
1960,The Shoe Store,3518 E Lake Mead Blvd,89115,6329
1967,Azteca Services,3522 E Lake Mead Blvd,89030,7465
2079,Reconstructora de Alternadores,3545 N Nellis Blvd Ste 14,89115,2920
1214,La Cucina,3600 Lakeside Dr,89509,5256
1225,Kinders Meats Deli & BBQ,3600 Warren Way,89509,5397
876,Element Tanning Studio,3600 Warren Way Ste 105,89509,5385
775,99 ?enters & more,3603 Las Vegas Blvd N,89115,510
768,Taqueria Martinez,3603 Las Vegas Blvd N Ste 103,89115,510
1127,The Blind Onion,3605 Kings Row,89503,1838
1126,Viewcrest Cleaners,3623 Kings Row,89503,1838
762,Glamour Beauty Salon,3626 Las Vegas Blvd N,89115,1552
1503,Comunidad Cristiana Roca Eterna,3644 N Rancho Dr Ste 102,89130,3176
985,Kristi's Pet Grooming,3689 Kings Row,89503,1838
1017,US Auto Title Loan,3720 E Sunset Rd Ste 104B,89120,3242
1114,Nail Art,3720 E Sunset Rd Ste 107,89120,3243
1145,El Panzon Tacos y Tortas,3720 E Sunset Rd Ste 110,89120,3243
1113,Seville Cleaners,3740 Sunset Rd Ste 101,89170,    
1254,Barking Lot,3742 E Tropicana Ave Ste 4,89121,7355
1504,Iglesia Primera Bautista Hispana,3770 W Washburn Rd,89031,4164
898,Fast Frame,3827 E Sunset Rd,89120,3900
1108,Amlee,3827 E Sunset Rd,89120,3900
1144,KS Smoke Shop,3827 E Sunset Rd Ste B,89120,3900
1025,Box Brothers,3827 E Sunset Rd Ste H,89120,3900
1016,Dish Authorized,3827 E Sunset Rd Ste I,89120,3900
1024,Solar Nails & Spa,3827 E Sunset Rd Ste K,89120,3900
901,Vegas Ultimate Store,3827 E Sunset Rd Ste L,89120,3900
1164,French style  Dry Cleaners,3830 E Flamingo Rd # F1A,89121,6234
1026,Hair Nails,3850 E Sunset Rd Ste G,89120,    
947,big dog's cafe and casino,390 W Sahara,89102,    
1473,Iglesia Cristiana La Casa de Mi Padre,3910 E Patrick Ln,89120,3927
828,xo liquor store,3915 E Charleston Blvd,89104,6618
1212,Chai Tip's Thai & Chinese,3925 N Martin L King Blvd,89032,7673
923,E's Bags & Accessories,3925 N Martin L King Blvd Ste 102,89032,7674
1036,Sidelinez,3925 N Martin Luther King Blvd # 110,89032,    
832,painless wayne harman,3935 E Charleston Blvd,89104,2300
818,samara smoke shop,3935 E Charleston Blvd Ste B2,89104,2300
830,boost mobile,3935 E Charleston Blvd Ste B5,89104,2300
938,402 Salon,3940 Martin Luther King # 108,89032,    
942,Eko Cleaners,3940 Martin Luther King Blvd Ste 100,89032,    
1033,Heart & Soul,3940 N Martin Luther King Blvd,89032,    
849,Fancy Nails,3960 W Craig Rd Ste 113,89032,    
1468,El Buen Pastor,4000 Vegas Dr,89108,1939
1201,SPCA Thrift Store,401 Vine St,89503,4330
711,Honey Bakery,403 Keystone Ave,89503,4302
848,Rock-A-Do Hair Studio,4040 W Craig Rd,89032,2754
851,Pizzeria Rotisserie,4090 W Craig Rd,89032,2757
1195,Bambini's Pizzeria Rotisserie,4090 W Craig Rd,89031,    
941,Tamale House,4105 Carrie Hills Ave,89031,2045
1248,Alternativ Reality Comics,4110 S Maryland Pkwy Ste 8,89119,7505
1932,Iglesia Bautista Bethel,4121 Abrams Ave,89110,5795
1470,Iglesia Bautista Bethel,4121 Abrams Ave,89110,5795
734,Revolution Beauty Salon,4160 E Sahara Ave Ste 105,89104,5260
741,METRO PCS,4160 E Sahara Ave Ste 120,89104,5260
837,International Beauty,4161 S Eastern Ave Ste B2,89119,5483
1986,Agencia de Viajes Claudia,4163 S Maryland Pkwy,89119,7546
771,ABUELA'S TACOS,4225 E Sahara Ave Ste 1,89104,6330
786,JOE'S BARBER SHOP,4225 E Sahara Ave Ste 4,89104,6330
789,BAGELS & SUBS,4225 E Sahara Ave Ste 6,89104,6330
2089,Reconstrucci?n de Partes Automotrize,4242 Fidus Dr,89103,3709
756,VEGAS HID,4275 E Sahara Ave Ste 6,89104,6303
753,CAMAS MIGUN,4275 E Sahara Ave Ste 7,89104,6303
1506,Calvery Chapel Lone Mountain,4295 N Rancho Dr,89130,3449
748,LUCKY CAT TATTOO,4305 E Sahara Ave Ste 2,89104,6347
750,B & S,4305 E Sahara Ave Ste 34,89104,6348
2048,Trasmisiones del Norte,4380 E Lake Mead Blvd Ste D,89115,3848
1241,Flawlace Beauty Boutique,4418 W Charleston Blvd,89102,1602
1084,Pet Servant,4425 E Tropicana Ave,89121,6712
869,Sin City Family Hair,4425 E Tropicana Ave,89121,6712
1082,Mariscos Vallarta,4425 E Tropicana Ave # 8,89121,6712
1085,Central Finance,4425 E Tropicana Ave Ste C,89121,6712
675,Reliable Appliances,4425 E Tropicana Ave Ste G,89121,6712
1996,Fat Boy Restaurant,4425 Stewart Ave Ste 107,89110,3301
1995,Medranos Electronics,4425 Stewart Ave Ste 115,89110,3301
1244,Whazz Up Pizza,4440 S Maryland Pkwy,89119,7527
1233,Grand China,4444 W Craig Rd Ste 126,89032,2727
1208,Aurelio's Is Pizza,445 W Craig Rd Ste 105,89032,1231
1518,Holy Family Catholic Church,4490 Mountain Vista St,89121,6550
2026,Est?tica Venus,4500 E Bonanza Rd Unit A,89110,3365
2017,El Azteca Restaurant,4518 E Charleston Blvd,89104,5525
673,El Pulgarcito,4524 E Tropicana Ave,89121,6705
2047,Venta de Llantas,4528 E Lake Mead Blvd,89115,6514
2001,Candy Land Mex (Dulces Mexicanos),4530 Charleston Local D-3,89104,    
1992,Chapis Beauty Salon,4530 E Charleston Blvd,89104,5525
1993,Directo Envios de Dinero,4530 E Charleston Blvd,89104,5525
2010,Electonics/TV Repair,4530 E Charleston Blvd,89104,5525
2018,Fashion Girl,4530 E Charleston Blvd,89104,5525
2011,Joyeria,4530 E Charleston Blvd,89104,5525
2006,Venta de Ropa y Accesorios,4530 E Charleston Blvd,89104,5525
2024,Sweet Home Furniture,4530 E Charleston Blvd Local A-6,89104,5525
2023,Monarcas Tax Services,4530 E Charleston Blvd Local B-12,89104,5525
2012,Lupitas Perfumes,4530 E Charleston Blvd Local B-2,89104,5525
2022,Mi tienda Mexican Curiosidades,4530 E Charleston Blvd Local B-4,89104,5525
2020,Reparaci?n de Joyas,4530 E Charleston Blvd Local BO1,89104,5525
2013,Dale Fashion,4530 E Charleston Blvd Local C-11,89104,5525
2015,Mary's Collection novedades,4530 E Charleston Blvd Local C-11,89104,5525
2014,Sandy Store,4530 E Charleston Blvd Local C-11,89104,5525
2002,Novedades y Regalos So Cute,4530 E Charleston Blvd Local C-7,89104,5525
2008,Fashion Diva Boutique,4530 E Charleston Blvd Local D-10,89104,5525
2019,Photography & Video Service,4530 E Charleston Blvd Local D-10,89104,5525
2021,CK Jewlry,4530 E Charleston Blvd Local D-11,89104,5525
2000,Lenceria Bella Rosa,4530 E Charleston Blvd Local D-4,89104,5525
2007,E&J filmaciones en video,4530 E Charleston Blvd Local D-9,89104,5525
2009,D and D Store,4530 E Charleston Blvd Local GA-2,89104,5525
1077,A-All Discount Vacuum and Sewing,4530 E Tropicana Ave,89121,6705
1472,Iglesia Casa de Oracion Vida Nueva,4530 Meadows Ln Ste 4,89107,2998
1073,Mi Pueblito Hair Design,4534 E Tropicana Ave,89121,6705
1066,Magic Nails,4540 E Tropicana Ave,89121,6705
674,Star Dentist,4542 E Tropicana Ave,89121,6705
1088,Los Compadres,4545 E Tropicana Ave Ste 456,89121,6740
1089,Los Compadres,4545 E Tropicana Ave Ste 456,89121,6740
1090,ServiTax,4545 E Tropicana Ave Ste 9,89121,6740
921,Fabulous Teen,4550 E Bonanza Rd Unit C,89110,6308
2027,Fabulous Teen Boutique,4550 E Bonanza Rd Unit C,89110,6308
919,Your Eyebrows,4550 E Bonanza Rd Unit D,89110,6308
917,Aztek Barber Shop,4550 E Bonanza Rd Unit E,89110,6308
2028,Soccer Magic,4550 E Bonanza Rd Unit H,89110,6308
918,Hot Off Da Press,4550 E Bonanza Rd Unit J,89110,6308
1246,Cugino's Italian Deli,4550 S Maryland Pkwy,89119,7622
1247,Top Nails,4550 S Maryland Pkwy Ste 22,89119,7624
1384,In The Woods,4560 Arville St # C27,89103,5310
1068,A S Smoke Shop,4560 E Tropicana Ave,89121,6705
2029,Agencia Llantera,4561 E Bonanza Rd,89110,6303
2031,David Towing,4561 E Bonanza Rd Ste 120,89110,6352
2030,Diegos Autoservice,4561 E Bonanza Rd Ste 120,89110,6352
1071,King's Garden Chinese Restaurant,4570 E Tropicana Ave,89121,6721
1070,King's Garden Chinese Restaurant,4570 E Tropicana Ave,89121,6721
2046,Auto Electric Services,4580 E Lake Mead Blvd,89115,3801
2045,Venta de Llantas,4580 E Lake Mead Blvd,89115,3801
2044,Auto Repair,4600 E Lake Mead Blvd,89115,3802
1106,Thrift-D-Lux,4602 E Sunset Rd Ste A,89014,2202
1102,Roberto's Taco Shop,4604 E Sunset Rd,89014,2202
1027,Chicken Shack,4606 E Sunset Rd,89014,    
1103,Smoke +,4608 E Sunset Rd,89014,2202
1149,Smoke Shop,4608 E Sunset Rd,89014,    
1147,Ever Bright Dental,4610 E Sunset Rd,89014,    
1099,11-Jul,4615 E Tropicana Ave,89121,6722
1303,Ritchie's Barbeque House,463 Roberts St,89502,2029
1259,Restaurant El Santaneco,4632 S Maryland Pkwy,89119,6309
888,Taco Famoso,4632 S Maryland Pkwy,89119,6309
1242,Stephano's Gyros,4632 S Maryland Pkwy Ste 14,89119,6310
997,Truckee Meadows Vetrinary Hospital,465 W Moana Ln,89509,4925
1155,Donut Shop,4650 E Sunset Rd,89014,    
2087,Reconstruccti?n de Motores,4650 Judson Ave Ste D,89115,5487
902,Bangkok Orchid,4662 E Sunset Rd,89014,2202
1029,Treasures,4700 S Maryland Pkwy Ste 5,89119,6318
872,Cafe Rio,4702 S Maryland Pkwy,89119,6300
855,Smash Burger,4725 S Maryland Pkwy,89119,6315
2049,Muebler?a M?xico,4740 E Owens Ave,89110,1667
1985,Tortilleria Sonora,4740 E Owens Ave,89110,1667
2061,Carrocer?a y Pintura,4750 E Lake Mead Blvd Ste 5,89115,3690
2060,Tapias Auto Repair,4750 E Lake Mead Blvd Ste 5,89115,3690
2059,Guadalajara Insurance,4750 E Lake Mead Blvd Ste A-1,89115,3689
1094,Las Pupusas Restaurant,4760 S Eastern Ave,89119,6195
1237,Jia Wok,477 E Plumb Ln,89502,3501
2037,Mofles La Sierra,4770 E Lake Mead Blvd,89115,3692
2062,Auto Service,4770 E Lake Mead Blvd Ste 9,89115,3693
2003,Panaderia Internacional,4777 E Charleston Blvd Ste 201,89104,5785
1464,Iglesia Cristiana Luz de Vida,4777 E Charleston Blvd Ste 205,89104,5785
2005,La Placita,4777 E Charleston Blvd Ste 217,89104,5786
907,L.A. Boxing,479 W Craig Rd,89032,1235
1207,Ben's Liquor,4794 N Virginia St,89506,9031
922,Classie Pooches Dog Grooming,4800 E Bonanza Rd Ste 6,89110,3456
870,Stake Out Bar & Grill,4800 S Maryland Pkwy,89119,6316
772,Town Mini Mart,4800 S Maryland Pkwy,89119,6316
1058,Fix It Wireless Repair Center,4800 S Maryland Pkwy Ste D,89119,6316
1226,Hair on Plumb,483 E Plumb Ln,89502,3501
920,Eyebrows R Us,4880 E Bonanza Rd,89110,3469
1069,Taqueria El Tizon,4912 S Eastern Ave Ste 1,89119,2319
1104,Payday Loans,4922 E Tropicana Ave,89121,6729
878,El Gran Taco,4924 E Tropicana Ave,89121,6729
1516,Christ the King Catholic,4925 S Torrey Pines Dr,89118,1109
879,CJ Hair and Nail,4926 E Tropicana Ave,89121,6729
1107,Suzie's,4934 E Tropicana Ave,89121,6729
1109,Sudz' Laundry,4940 E Tropicana Ave,89121,6729
885,Yummy House,4944 E Tropicana Ave,89121,6729
1093,Sexy Hair Studio,499 Casazza Dr,89502,3388
1137,Mi Ranchito,500 Denslowe Dr # F,89512,2305
1170,Steinway Pianos,500 E Moana Ln,89502,4661
894,Dominican Destination Salon-Hair Styling Shop,5000 W Charleston Blvd Ste A,89146,1442
906,Restaurante Perla Tapatia,5000 W Charleston Blvd Ste D,89146,1442
1492,Oasis de Paz Ministries,5000 W Oakey Blvd Ste D20,89146,340
666,Ahead of Time,5001 E Bonanza Rd,89110,3557
667,Carlito's Way Smoke Shop,5001 E Bonanza Rd Ste 102,89110,3572
668,Daffodil Florist,5001 E Bonanza Rd Ste 116,89110,3563
890,El Piolin Tireshop,5001 W Charleston Blvd,89146,1409
1206,Nutrition Center,501 Vine St,89503,4322
875,El Cordobes,5020 E Tropicana Ave # A,89122,6747
1046,La Jerezana,5020 E Tropicana Ave Ste 1B,89122,6749
1101,Sylvia's Beauty Salon,5020 E Tropicana Ave Ste 7B,89122,6749
713,Valley Market,505 Denslowe Dr,89512,2306
2071,Auto Sales,5068 E Washington Ave,89110,2429
1298,Clark County School District,5100 W Sahara Ave,89146,3406
2070,Beauty Salon,5137 E Owens Ave,89110,1658
2069,Venta de Equipo Stereofonico,5137 E Owens Ave,89110,1658
1271,A 7th Heaven Nails,516 E Prater Way,89431,4649
1499,His Word Christian Center,5165 Camino Al Norte,89031,2405
2082,Rubalcava Taco Shop,5185 E Lake Mead Blvd,89156,6763
1138,Millenium Unisex,520 Denslowe Dr,89512,2305
1275,"Scraps Dog Co., Discount Pet Foods",520 E Prater Way,89431,4649
714,Mariah's Fashion,524 A Denslowe Dr,89512,2305
1035,House of Fades,524 S Martin L King Blvd,89106,4412
2092,Compra Venta de Llantas,5240 Spring Mountain Rd,89146,8700
1498,Iglesias de Dios Camino de Santidad,5367 Jay Ave,89130,3101
984,Creaciones Vevi's,5444 Sun Valley Blvd,89433,7616
1186,DVD Depot,5456 Sun Valley Blvd Ste B,89433,7656
658,Jalisco Bakery,5458 Sun Valley Blvd,89433,7616
856,Jalisco Panderia,5458 Sun Valley Blvd,89433,7616
833,Jalisco Paneria,5458 Sun Valley Blvd,89433,7616
1189,Sun Valley Barber & Beauty Shop,5462 Sun Valley Blvd,89433,7616
854,Jackie's Dog Grooming Shop,5466 Sun Valley Blvd,89433,7616
2067,La Hacienda Restaurant & Bar,5482 E Lake Mead Blvd,89030,    
1460,Prince of Peace,5485 E Charleston Blvd,89142,1038
718,Sun Valley Discount Center,5490 Sun Valley Blvd,89433,7616
1522,Shrine of the Most Holy Redeemer Catholic Church,55 E Reno Ave,89119,1139
1047,Paris Nails,5516 Boulder Hwy # 2,89122,6000
1286,P'nai Tikvah,5555 Redwood St,89118,1886
877,Sushi Twister,5566 Boulder Hwy,89122,6067
1276,King Tobacco & Liquor,562 E Prater Way,89431,4649
712,Magic Nails,565 Keystone Ave,89503,4337
996,Yen Ching,565 W Moana Ln,89509,4914
767,No.1 Nails,5665 E Charleston Blvd Ste 123,89142,1333
725,Pal's Smoke Shop,5665 E Charleston Blvd Ste 129,89142,1333
1250,Roma Garden,5715 S Pecos Rd,89120,3407
1142,A&M Rosami,575 Keystone Ave,89503,4337
754,Shegar Ethiopian Market,5785 W Tropicana Ave,89103,5135
1489,El Camino A Cristo Lutheran Church,580 E Saint Louis Ave,89104,2562
1510,Inglesia Nueva Vida,580 E Saint Louis Ave,89104,2562
1000,Pupuseria y Taqueria,581 E Moana Ln,89502,4629
2095,Venta e Instalacion de Vidrios para Auto,5821 Brisbane Pl,89110,2656
745,Angelina's Pizzerias & Italian Kitchens,5821 E Charleston Blvd,89142,1010
1508,Corner Stone Christian Fellowship,5825 Eldora Ave,89146,5313
732,Check N' Go,5841 E Charleston Blvd,89142,1021
729,Community Dry Cleaners,5841 E Charleston Blvd,89142,1021
914,Designer's Nails,5841 E Charleston Blvd Ste 200,89142,1049
743,Hawaiian BBQ,5841 E Charleston Blvd Ste 270,89142,1052
916,Bodyheat Tanning,5841 E Charleston Blvd Ste 290,89142,1052
706,Eagle Tire Shop,6 N 26th St,89101,4616
1952,Income Tax,60 N 25th St Ste 140,89101,4701
1421,The Patio,600 W 5th St,89503,4421
2065,Mexican Restaurant,6055 E Lake Mead Blvd,89156,7801
913,La Flor de Michoacan Ice Cream,6065 E Lake Mead Blvd Ste D,89156,6909
759,Goolit Mart,6154 W Flamingo Rd,89103,2280
1065,Vegas Vacuum and Sewing,621 N Stephanie St,89014,2612
1488,Iglesia Evangelica Amigos,6219 W Washington Ave,89107,1309
857,College Cyclery,622 S Virginia St,89501,2324
1277,M&M's Fish & Chicken,624 E Prater Way,89431,4680
1063,Reptiles-N-Reefs,629 N Stephanie St,89014,2633
1057,The UPS Store,631 N Stephanie St,89014,2633
950,american worker,6322 W Sahara Ave,89146,3035
669,Orinoco,6330 W Charleston Blvd Ste 140,89146,1183
975,bks iyengar yoga center of las vegas,6342 Wsahara,89146,    
955,prommare thai restaurant,6362 Wsahara,89146,    
956,prommares thai restaurant,6362 Wsahara Ave,89146,    
948,"dry cleaners, alterations",6364 W Sahara Ave,89146,3050
946,box brothers,6384 W sahara,89151,    
957,dental ave,6388 Wsahara,89146,    
1062,Villa Pizza,639 N Stephanie St,89014,2633
1987,El Borrego de Oro Rastaurant,640 N Eastern Ave,89101,2820
1261,A Beautiful Bouquet Florist,641 Marks St,89014,8617
1059,Styles 4 Less,643 N Stephanie St,89014,2633
811,smoke and decor,6430 Sky Pointe Dr,89131,4050
1278,Guys & Dollas,648 E Prater Way,89431,4680
953,sammys's woodfire pizza,6500 W sahara,89151,    
974,express smog,6527 W sahara,89146,    
659,LaBella's Pizza,6530 N Buffalo Dr Ste 130,89131,4066
1056,Nelci Fashion's,655 N Stephanie St,89014,2634
1232,PolyEsthers Costume Boutique,655 S Virginia St,89501,2323
1204,Poke Express,655 W Craig Rd Ste 118,89032,3201
945,car country auto sales,6555 W sahara,89146,    
1112,Allure Beauty Salon,661 E Moana Ln,89502,4721
1272,Cosmic Coffee,663 N Mccarran Blvd,89431,4623
1083,Bangkok 9,663 N Stephanie St,89014,2634
990,La Favorita,665 E Moana Ln,89502,4721
1080,Sunset Nails Salon,667 N Stephanie St,89014,2634
1081,Sunset Nails Salon,667 N Stephanie St,89014,2634
1274,Lupita's Mexican Restaurant,668 E Prater Way,89431,4680
757,Value Cleaner,669 E Moana Ln,89502,4721
1280,Adam & Eve Hair,669 N Mccarran Blvd,89431,4623
1121,SUP,669 S Virginia St,89501,2323
2057,La Palma Market,6700 W Charleston Blvd Ste 1,89146,9008
952,pink tire,6700 Wsahara,89146,    
834,El Pollo Rico,671 N Nellis Blvd,89110,5383
1301,Choices Pub,6720 W Cheyenne Ave,89108,4588
1174,Penny's Midtown Mercantile,675 S Virginia St,89501,2323
973,count vamp's,6750 Wsahara,89146,    
1100,Carniceria Dos Amigos,677 E Moana Ln,89502,4721
2066,Viva El Taco,6775 E Lake Mead Blvd,89156,1183
949,hash house a gogo,6800 Wsahara,89146,    
1169,Aces Tattoo,681 S Virginia St,89501,2323
1295,LV Dog Resort,6810 W Sahara Ave,89146,2966
2109,Roberto's Taco Shop,6820 W Flamingo Rd,89103,2014
2110,Thai BBQ,6820 W Flamingo Rd Ste A,89103,2036
764,Tasty Island Jamaican Restaurant,6820 W Flamingo Rd Ste H,89103,2038
1279,Angelica's Italian & Mexican Restaurant,683 N Mccarran Blvd,89431,4623
1199,La Luna Insurance,685 E Moana Ln,89502,4721
1281,Ijji Sushi,685 E Prater Way,89431,4970
1224,Reno Antiques,685 S Wells Ave,89502,1825
1079,L&L Hawaiian Barbecue,687 N Stephanie St,89014,2635
1111,Club de Nutricion,689 E Moana Ln,89502,4721
1075,Smoke Shop II,693 N Stephanie St,89014,2656
1221,St. Ives Florist,700 S Wells Ave,89502,928
2025,La Isla de Mexcaltit?n Restaurant,701 N Nellis Blvd,89110,5331
1982,Mar y Tierra Mexican & Seafood,712 N Eastern Ave,89101,2822
1990,Acapulco Travel Agencia de Viajes,713 N Eastern Ave,89101,2821
1055,Signature Nails & Spa,7161 S Eastern Ave Ste 3E,89119,4675
1054,Fanco,7166 S Eastern Ave Ste 3C,89119,    
839,The Cupcakery,7175 W Lake Mead Blvd Ste 118,89128,1303
831,Market Grille Cafe,7175 W Lake Mead Blvd Ste 130,89128,1305
826,The Teriyaki Co,719 N Nellis Blvd,89110,5331
865,Midtown Eats,719 S Virginia St,89501,2343
972,fino for men,7207 Wsahara Ave NO100,89117,    
1014,Discount Smokes & Gifts,7231 S Eastern Ave,89119,451
1015,Doggie Do,7231 S Eastern Ave,89119,451
1053,China Joes,7231 S Eastern Ave Ste D,89119,452
1193,Teriyaki Madness,725 W Craig Rd Ste 132,89032,6178
1240,Dry Creek Garden Co.,7250 S Virginia St,89511,1110
1269,jakks salon,7260 W Lake Mead Blvd Ste 2,89128,8357
1525,St. Joseph Husband-Mary Roman Catholic Church,7260 W Sahara Ave,89117,2815
1294,Team Beach Body,7281 W Sahara Ave Ste 100,89117,2802
760,Red Rock Running,7350 W Cheyenne Ave,89129,7445
1946,Red Rock Dog Grooming,7378 Silver Dawn Dr,89506,4173
895,Plaza Books,7380 S Eastern Ave,89123,1550
1051,Galvin Chiropractic,7380 S Eastern Ave,89123,1550
1048,Mikey's Cues & Brews,7380 S Eastern Ave,89123,1550
892,Ballpark Lounge,7380 S Eastern Ave Ste 101,89123,1551
1050,Tech2U,7380 S Eastern Ave Ste 109D,89123,1551
893,Maria's Taco Shop,7380 S Eastern Ave Ste 118,89123,1552
1013,Jeff's Barber Shop,7380 S Eastern Ave Ste 122,89123,1552
1122,Lavi Smoke Shop,743 S Virginia St,89501,2325
911,La Renya Mexican Restaurant & Mariscos,745 N Nellis Blvd Ste 1,89110,5380
2041,La Reyna Restaurant,745 N Nellis Blvd Ste 1,89110,5380
861,A Downtown Barber Shop,745 S Virginia St,89501,2325
1219,Sierra Feed & Saddlery,7460 S Virginia St,89511,1112
812,Streets of New York Pizza,7570 Norman Rockwell Ln,89143,6011
1462,Ministerio Evangelistico Adonai Church,7570 Peace Way,89147,4014
976,pure health food store,7575 W Washington Ave,89128,4333
801,parma by chef marc,7591 W Washington Ave,89128,4341
930,Quality Communication,76 Spectrum Blvd,89101,4837
821,Leon's Bridal Boutique,775 N Nellis Blvd Ste 2,89110,5385
1234,Garcias Mexican Restaurant,775 W Craig Rd,89032,6174
671,Retro Bakery,7785 N Durango Dr,89131,8000
794,Sassy Sal's BBQ,7785 N Durango Dr Ste 105,89131,8001
983,Recycled Furniture,780 S Virginia St,89501,2326
1213,Universal Saloon,795 S Wells Ave,89502,927
1994,Viva el Taco,80 N Lamb Blvd,89110,4602
1282,Sierra Car Care,800 Prater Way,89431,4439
1211,Round Table Pizza,801 Vine St,89503,3644
987,Sierra Health Mart,8040 S Virginia St Ste 3,89511,8939
1119,Great Basin Bicycles,8048 S Virginia St,89511,8909
864,Mail Box and Mail Center,805 S Virginia St,89502,2413
1227,Superior Transmission,805 S Wells Ave,89502,929
1116,Sierra Sewing Center,8056 S Virginia St,89511,8952
1531,Victory Outreach,810 E Lake Mead Blvd,89030,8342
733,Eterno,810 S Wells Ave,89502,930
1128,Panaderia Las Palomas,814 S Wells Ave,89502,930
860,Twisted Minds,820 S Virginia St,89502,2414
1998,Mariscos La Mojarra Loca,821 N Lamb Blvd Ste 14,89110,5439
1997,Mercado La Mexicana,821 N Lamb Blvd Ste 9,89110,5439
670,Fashion St. Clothing Co,83 N Nellis Blvd,89110,5330
809,Brandon Adams Jeweler,8370 W Cheyenne Ave Ste 102,89129,2174
951,Tanya's Nail  Spa,8370 W Cheyenne Ave Ste 106,89129,2174
816,Tanya's Nails & Spa,8370 W Cheyenne Ave Ste 106,89129,2174
954,"ADAMS, Brandon",8370 W Cheynne Boulevard North Shore Plz,89129,    
1502,Centro Cristino Filadelfia,8398 Gresham Dr,89123,2348
793,ACE the helpful place,8400 Wcheyenne Desert Shore Ace Hardware No15,89129,    
859,Best Value Lodge,844 S Virginia St,89502,2414
665,Super Nails #2,85 N Nellis Blvd,89110,5330
1423,EnSoul Hair Gallery,855 E 4th St Ste F,89512,3555
730,Murillo's Store,855 S Wells Ave,89502,929
840,Rumor,861 N Nellis Blvd Unit 4,89110,5386
2054,Salon de Belleza,861 N Nellis Blvd Unit 4,89110,5386
844,Tacos Los Toritos,861 N Nellis Blvd Unit 9,89110,5386
1223,Lee Joseph Inc. & Swim Pool & Spa Supplies,864 S Wells Ave,89502,930
1999,Detalles Beauty Salon,865 N Lamb Blvd Ste 15,89110,5442
1209,Vacuum Factory,865 S Wells Ave,89502,929
2053,Panader?a Mexicana,871 N Nellis Blvd,89110,5376
910,Elegant Nails and Spa,871 N Nellis Blvd Ste I,89110,5376
846,Herbalife (nellis),871 N Nellis Blvd Unit 2,89110,5376
908,Your Credit,871 N Nellis Blvd Unit 9,89110,5376
1292,Baked Fried Grilled,873 S Rainbow Blvd,89145,    
1176,John Mark Photography,876 S Virginia St,89502,2414
1129,Olivia's Ice Cream,880 S Wells Ave,89502,930
1124,Nightmare Studios Tattoo,888 S Virginia St,89502,2414
873,Friendly Bear Car Wash,895 N Nellis Blvd,89110,5326
752,Fabric Care Specialist,900 W Moana Ln Ste 102,89509,4880
1287,Temple Sinai,9001 Hillpointe Rd,89134,6097
1471,Iglesia Pentecostal Trono de Gracia,901 E Webb Ave,89030,7017
1217,Stingray Tattoo,902 S Wells Ave,89502,2522
1215,Black Cat Tattoo,905 S Wells Ave,89502,2521
1230,Reno Salon & Spa,912 1/2 S Virginia St,89502,2416
1123,Black Hole Body Piercing,912 S Virginia St,89502,2416
1273,Cantina Los Tres Hombres,926 Victorian Ave,89431,4905
1229,Josef's Vienna Backery,933 W Moana Ln,89509,4844
1988,Venta de Autos Sunrise,939 N Nellis Blvd,89110,5333
1184,Fairway Motors,940 S Virginia St,89502,2416
988,Fast Frame,940 W Moana Ln,89509,4831
1179,Best Bet Motor Lodge,941 S Virginia St,89502,2415
740,The Hair Company,943 W Moana Ln,89509,4844
1270,WR Adams & Son,944 Victorian Ave,89431,4905
1163,A Harmony Nail Spa,953 E Sahara Ave,89104,3005
657,Voz en el Desierto,953 E Sahara Ave Ste F,89104,3005
1125,Junkee Clothing Exchange,960 S Virginia St,89502,2416
736,Erik's Hair Fix,960 W Moana Ln Ste 101,89509,4845
1183,Payday & Title Loans,961 S Virginia St,89502,2415
2042,Tire Express,980 N Nellis Blvd,89110,5393
1495,Iglesia Ni Cristo,9930 W Cheyenne Ave,89129,7727
1951,La Bodega de Descuentos,Craig Rd,89030,    
686,pro club,W Charleston Blvd,89102,1897
1931,The Church of South Las Vegas,W Horizen Ridge Pkwy,89025,    
